-16.291,42.803,231.492
-16.505,42.806,231.431
-16.711,42.812,231.460
-16.916,42.817,231.494
-17.126,42.822,231.493
-17.340,42.826,231.467
-17.550,42.828,231.396
-17.765,42.831,231.314
-17.974,42.835,231.293
-18.184,42.839,231.282
-18.394,42.844,231.281
-18.599,42.849,231.315
-18.809,42.854,231.334
-19.019,42.858,231.303
-19.229,42.862,231.262
-19.444,42.866,231.236
-19.654,42.870,231.205
-19.863,42.873,231.159
-20.078,42.876,231.108
-20.283,42.881,231.106
-20.493,42.886,231.110
-20.703,42.890,231.089
-20.918,42.894,231.058
-21.128,42.898,231.032
-21.333,42.903,231.056
-21.538,42.908,231.085
-21.748,42.912,231.059
-21.962,42.916,231.038
-22.167,42.921,231.042
-22.372,42.926,231.071
-22.582,42.930,231.050
-22.797,42.934,231.018
-23.007,42.938,231.007
-23.212,42.943,231.016
-23.422,42.948,231.020
-23.632,42.952,230.989
-23.832,42.959,231.103
-24.051,42.960,230.947
-24.266,42.964,230.916
-24.471,42.968,230.905
-24.681,42.973,230.914
-24.891,42.978,230.913
-25.101,42.981,230.876
-25.311,42.985,230.850
-25.521,42.990,230.854
-25.726,42.995,230.888
-25.936,43.000,230.902
-26.155,43.001,230.756
-26.356,43.008,230.850
-26.570,43.011,230.794
-26.780,43.016,230.798
-26.985,43.021,230.822
-27.200,43.025,230.766
-27.410,43.028,230.710
-27.619,43.032,230.683
-27.825,43.037,230.702
-28.030,43.042,230.736
-28.239,43.046,230.695
-28.449,43.049,230.644
-28.654,43.054,230.673
-28.859,43.059,230.697
-29.064,43.064,230.681
-29.279,43.067,230.630
-29.489,43.070,230.579
-29.693,43.074,230.568
-29.903,43.079,230.582
-30.108,43.084,230.571
-30.323,43.087,230.505
-30.538,43.089,230.423
-30.743,43.094,230.422
-30.948,43.099,230.456
-31.153,43.104,230.465
-31.363,43.108,230.449
-31.572,43.111,230.383
-31.782,43.115,230.362
-31.987,43.121,230.411
-32.192,43.125,230.415
-32.407,43.129,230.354
-32.621,43.131,230.248
-32.831,43.135,230.232
-33.036,43.139,230.241
-33.236,43.146,230.314
-33.442,43.151,230.348
-33.656,43.154,230.262
-33.866,43.157,230.226
-34.076,43.162,230.220
-34.286,43.165,230.164
-34.495,43.169,230.133
-34.705,43.174,230.137
-34.910,43.178,230.141
-35.115,43.183,230.145
-35.325,43.187,230.129
-35.530,43.192,230.153
-35.740,43.197,230.161
-35.955,43.200,230.110
-36.175,43.204,230.054
-36.384,43.208,230.033
-36.594,43.213,230.052
-36.805,43.218,230.066
-37.010,43.223,230.085
-37.220,43.229,230.124
-37.425,43.233,230.133
-37.644,43.237,230.092
-37.859,43.240,230.031
-38.074,43.244,229.989
-38.294,43.247,229.938
-38.503,43.252,229.917
-38.714,43.257,229.951
-38.923,43.262,229.950
-39.138,43.265,229.904
-39.348,43.270,229.928
-39.558,43.275,229.922
-39.778,43.278,229.861
-39.993,43.281,229.795
-40.212,43.285,229.743
-40.422,43.289,229.732
-40.632,43.294,229.761
-40.847,43.298,229.735
-41.062,43.302,229.679
-41.281,43.305,229.628
-41.496,43.308,229.572
-41.706,43.314,229.591
-41.916,43.319,229.605
-42.126,43.323,229.599
-42.346,43.326,229.537
-42.556,43.331,229.526
-42.761,43.337,229.595
-42.971,43.342,229.594
-43.186,43.346,229.563
-43.401,43.350,229.547
-43.611,43.355,229.556
-43.816,43.360,229.600
-44.031,43.364,229.559
-44.250,43.368,229.508
-44.465,43.371,229.466
-44.690,43.374,229.390
-44.899,43.378,229.364
-45.114,43.383,229.358
-45.319,43.388,229.387
-45.525,43.394,229.446
-45.730,43.400,229.485
-45.949,43.403,229.434
-46.169,43.406,229.358
-46.394,43.409,229.276
-46.609,43.413,229.255
-46.814,43.418,229.294
-47.019,43.424,229.323
-47.234,43.428,229.297
-47.453,43.432,229.261
-47.663,43.436,229.250
-47.873,43.441,229.269
-48.074,43.447,229.338
-48.279,43.453,229.382
-48.498,43.457,229.331
-48.718,43.460,229.274
-48.943,43.462,229.183
-49.153,43.467,229.177
-49.363,43.472,229.201
-49.577,43.476,229.165
-49.792,43.481,229.179
-49.997,43.486,229.188
-50.217,43.489,229.122
-50.447,43.491,229.026
-50.666,43.495,228.979
-50.876,43.500,228.993
-51.081,43.506,229.032
-51.291,43.510,229.026
-51.511,43.514,228.985
-51.721,43.519,228.989
-51.917,43.526,229.113
-52.093,43.536,229.317
-52.269,43.546,229.551
54.057,40.386,236.585
53.863,40.388,236.525
53.658,40.392,236.508
53.453,40.397,236.497
53.253,40.400,236.456
53.053,40.403,236.425
52.854,40.407,236.384
52.649,40.411,236.373
52.433,40.417,236.427
52.223,40.422,236.446
52.024,40.426,236.420
51.824,40.429,236.384
51.614,40.434,236.388
51.414,40.438,236.367
51.209,40.442,236.326
51.009,40.445,236.300
50.804,40.450,236.314
50.594,40.455,236.323
50.389,40.459,236.312
50.190,40.462,236.256
49.990,40.465,236.214
49.785,40.470,236.233
49.570,40.476,236.272
49.365,40.481,236.266
49.165,40.484,236.215
48.965,40.487,236.169
48.760,40.492,236.198
48.550,40.497,236.187
48.356,40.499,236.126
48.146,40.504,236.135
47.936,40.509,236.164
47.726,40.515,236.188
47.521,40.520,236.202
47.316,40.523,236.176
47.111,40.527,236.155
46.906,40.532,236.163
46.701,40.537,236.177
46.491,40.541,236.166
46.291,40.545,236.145
46.086,40.549,236.104
45.887,40.553,236.088
45.687,40.556,236.047
45.487,40.558,235.971
